month,pct,quantity_of_plasters,rx_items,actual_cost,net_cost
2020-05-01,D4U1Y,3820.0,111,8561.61561,9208.09
2019-07-01,B2M3M,3195.0,98,6735.683820000001,7243.63
2019-07-01,06H,1655.0,53,3713.96915,3994.0600000000004
2018-07-01,B2M3M,3935.0,129,8275.56955,8906.42
2018-07-01,02P,2230.0,68,4999.84618,5381.7300000000005
2019-05-01,01H,2165.0,69,4783.707699999999,5148.82
2017-12-01,01H,2175.0,75,4866.42539,5248.9800000000005
2017-12-01,42D,4465.0,142,9947.898519999999,10732.06
2021-10-01,06N,5805.0,175,11252.15971,12069.05
2021-03-01,00L,1605.0,49,3605.34446,3873.3900000000003
2021-03-01,15E,6685.0,216,14887.31883,15991.930000000002
2019-11-01,M2L0M,2635.0,76,5841.3086299999995,6283.109999999999
2016-08-01,02P,2110.0,75,4719.4147299999995,5092.110000000001
2016-08-01,26A,2945.0,90,6585.68972,7107.25
2016-08-01,06T,5125.0,168,11462.986109999998,12368.34
2020-02-01,01D,1295.0,42,2903.96881,3118.01
2021-12-01,14L,4710.0,152,10302.31506,11031.91
2021-12-01,27D,5811.0,203,11615.177749999999,12436.49
2020-03-01,B2M3M,4090.0,128,8467.00638,9112.15
2019-03-01,99A,20735.0,699,45952.50131000001,49434.04000000001
2017-02-01,36J,11960.0,386,26771.577459999993,28863.439999999995
2019-02-01,91Q,18320.0,573,40018.416900000004,43079.11000000001
2015-12-01,03L,1680.0,61,3746.41111,4054.39
2015-12-01,A3A8R,7590.0,248,16925.04034,18317.200000000008
2020-08-01,M2L0M,1970.0,63,4334.991260000001,4660.139999999999
2020-11-01,10R,320.0,12,718.6878,772.27
2020-11-01,05W,2310.0,72,5138.737050000001,5522.29
2017-11-01,00R,1100.0,36,2460.11722,2654.66
2017-11-01,99C,3425.0,104,7659.11373,8265.64
2017-11-01,07H,1955.0,70,4372.64127,4718.07
2017-11-01,15C,2535.0,70,5648.718850000001,6096.08
2021-04-01,02E,2845.0,75,6355.7252499999995,6822.5
2021-04-01,72Q,21515.0,624,45897.97134999999,49043.15
2021-04-01,B2M3M,3810.0,117,7942.893699999999,8525.09
2020-01-01,99E,955.0,23,2052.4644200000002,2206.9900000000002
2020-07-01,A3A8R,7735.0,241,17296.417319999997,18612.880000000005
2020-07-01,16C,14610.0,481,32700.222400000002,35188.18
2018-06-01,26A,3955.0,119,8841.46859,9522.99
2021-06-01,02P,1630.0,45,3185.09511,3419.6899999999996
2021-06-01,36L,15935.0,516,35251.40976,37837.41
2021-06-01,91Q,16700.0,529,33776.94071,36259.11
2021-05-01,01F,3685.0,112,8244.09383,8844.26
2015-06-01,03K,330.0,10,736.5841500000001,796.4000000000001
2018-03-01,01H,1895.0,65,4242.9292000000005,4573.25
2017-10-01,99A,23185.0,755,51397.727169999984,55551.240000000005
2017-10-01,02Y,2990.0,88,6674.31215,7215.86
2017-10-01,10Q,6730.0,203,14574.645919999997,15754.85
2021-02-01,84H,8340.0,293,18320.630400000002,19658.35
2021-02-01,03R,290.0,11,591.49075,634.7
2018-01-01,02H,1015.0,31,2271.20824,2449.52
2017-03-01,92A,8685.0,268,19410.421069999997,20959.75
2018-02-01,02M,975.0,43,2185.74564,2353.0299999999997
2016-03-01,00R,1475.0,50,3296.27229,3559.63
2016-03-01,18C,2590.0,75,5785.39776,6250.52
2017-05-01,07H,2125.0,82,4752.74163,5128.320000000001
2017-05-01,26A,4145.0,121,9266.82087,10003.24
2017-05-01,05V,950.0,34,2124.6744900000003,2292.65
2017-05-01,97R,8485.0,282,18973.70202,20477.1
2016-10-01,D2P2L,10510.0,334,23487.286429999993,25364.070000000007
2021-01-01,05D,735.0,16,1630.9981400000001,1752.08
2017-01-01,02Q,715.0,21,1599.4663600000001,1725.5300000000002
2017-09-01,00X,3035.0,108,6784.6582,7324.42
2017-09-01,13T,6730.0,208,15011.411680000001,16209.150000000001
2018-11-01,06T,4475.0,133,9387.72365,10115.48
2015-11-01,84H,28020.0,932,62555.952029999986,67621.45999999999
2015-11-01,70F,10680.0,334,23840.94109,25774.39
2019-08-01,36J,7540.0,229,16899.823579999997,18196.550000000003
2019-08-01,13T,4400.0,140,9834.257430000001,10586.12
2019-08-01,14Y,1745.0,54,3881.35776,4178.7
2020-06-01,06L,7160.0,198,14022.105019999999,15091.18
2016-06-01,04C,6635.0,199,15000.02683,16012.47
2020-12-01,A3A8R,7270.0,230,16282.68764,17501.530000000006
2018-08-01,70F,8305.0,247,18569.9502,20010.13
2018-08-01,99C,3055.0,96,6833.313700000001,7361.85
2016-07-01,06L,9055.0,262,20250.947289999996,21852.75
2020-09-01,07G,455.0,15,939.29994,1011.19
2015-03-01,00P,1320.0,54,2948.67142,3185.6099999999997
2016-05-01,01X,13650.0,474,30513.60448,32941.98
2016-09-01,99E,1080.0,29,2414.0632600000004,2606.4
2020-04-01,D9Y0V,13215.0,417,28773.10022,30940.119999999995
2020-04-01,01K,2435.0,83,5434.514649999999,5843.89
2020-04-01,03N,4475.0,139,9982.725869999998,10734.509999999998
2015-02-01,15A,1290.0,44,3285.1311100000003,3547.6099999999997
2016-04-01,36L,23280.0,774,52024.77889999999,56182.19
2019-09-01,04Y,690.0,20,1465.89683,1578.32
2018-05-01,B2M3M,3805.0,123,8146.6935300000005,8777.31
2016-11-01,06K,3450.0,113,7715.653190000001,8325.98
2016-11-01,92G,3970.0,124,8878.058999999997,9580.93
2016-11-01,91Q,19530.0,616,43754.43577,47132.380000000005
2016-01-01,04Y,570.0,19,1273.71214,1375.5900000000001
2015-10-01,00P,1965.0,75,4382.87865,4742.21
2015-07-01,02H,1205.0,40,2689.53114,2908.07
2015-07-01,91Q,17260.0,584,40339.09874999998,43603.23
2019-10-01,09D,2745.0,83,6153.60598,6624.61
2019-10-01,03L,2960.0,102,6636.951950000001,7143.5
2019-10-01,15C,2895.0,87,5902.32241,6353.12
2018-09-01,04V,8910.0,282,19920.07934,21459.38
2019-07-01,01J,10210.0,436,19999.13241,21483.460000000003
2019-07-01,07H,890.0,30,1997.4280500000002,2147.8599999999997
2019-06-01,70F,7925.0,233,17704.357850000004,19044.19
2019-01-01,15N,36120.0,1135,73619.80465,79288.9
2019-01-01,12F,13845.0,479,26883.067049999998,28945.53
2018-07-01,84H,10020.0,359,22413.11705,24116.42
2018-07-01,09D,3000.0,92,6726.42444,7239.99
2019-05-01,11M,4890.0,161,10881.328490000002,11712.52
2017-12-01,D9Y0V,24275.0,778,54226.91005999999,58496.75999999999
2021-10-01,15A,12025.0,355,25183.043489999996,27016.629999999997
2021-10-01,11X,2500.0,75,5469.65821,5866.810000000001
2021-03-01,00Y,1005.0,29,2117.6550100000004,2275.17
2021-03-01,11J,1620.0,52,3576.8371100000004,3842.62
2019-11-01,01V,5540.0,170,12389.58997,13326.41
2019-11-01,42D,4490.0,134,10012.23479,10770.69
2016-08-01,D4U1Y,3785.0,128,8466.71452,9134.46
2020-02-01,15M,4180.0,120,8426.14298,9048.82
2021-12-01,99G,320.0,10,721.10603,772.2700000000001
2021-12-01,07H,1220.0,45,2706.0181300000004,2897.1800000000003
2021-12-01,36L,16825.0,555,37284.228500000005,39921.91
2022-01-01,52R,7830.0,205,16837.017469999995,17993.2
2019-03-01,06T,4265.0,142,8824.297040000001,9492.810000000001
2016-12-01,01G,1030.0,34,2302.17929,2485.71
2016-12-01,78H,1275.0,38,2849.15744,3077.0
2016-12-01,70F,12075.0,354,26985.07982,29140.940000000002
2016-12-01,15A,4840.0,163,10817.42956,11680.539999999999
2020-10-01,92G,2775.0,82,5972.9266800000005,6432.73
2015-12-01,03K,720.0,20,1604.96688,1737.6
2015-12-01,03H,370.0,15,825.4588200000001,892.94
2020-08-01,01J,8215.0,335,15809.139399999996,16980.190000000002
2020-08-01,01D,1310.0,45,2941.2564699999994,3161.45
2020-08-01,05W,2225.0,67,4886.91247,5253.83
2020-11-01,11X,2070.0,65,4426.57206,4756.67
2021-08-01,02G,4355.0,139,9717.850030000001,10408.7
2021-08-01,03H,310.0,10,698.4168400000001,748.1300000000001
2021-08-01,05D,745.0,17,1647.7877,1765.35
2021-08-01,03K,810.0,26,1804.64584,1933.0800000000002
2017-11-01,02G,6195.0,190,13852.867200000002,14950.56
2017-11-01,07G,540.0,19,1207.62991,1303.21
2021-04-01,05D,685.0,15,1509.66968,1620.55
2021-04-01,11M,4590.0,153,9496.255729999999,10190.269999999999
2018-06-01,03W,6075.0,175,13591.842270000001,14639.259999999998
2018-06-01,01F,7685.0,263,17212.302789999998,18535.59
2018-06-01,01G,1085.0,33,2431.23653,2618.46
2021-06-01,15C,2715.0,78,5606.3847000000005,6018.24
2021-05-01,02Q,1330.0,40,2788.90473,2992.5299999999997
2015-06-01,36J,10195.0,336,24626.711299999995,26617.289999999994
2015-06-01,D2P2L,8105.0,277,18742.760329999994,20256.700000000004
2015-06-01,03W,4525.0,131,10101.97063,10920.3
2018-03-01,00Q,2910.0,107,6517.68045,7022.9
2018-03-01,04V,7445.0,243,16608.29481,17902.15
2021-11-01,04V,8090.0,245,15950.60919,17094.859999999997
